text,label
Die Lieferung war mangelhaft .,0
Die Webseite war unakzeptabel .,0
Die Lieferung war schlecht .,0
Die Webseite war unerträglich ohne Vorankündigung.,0
Die Webseite war mangelhaft .,0
Die Webseite war schlecht im Vergleich zu meinen Erwartungen.,0
Das Produkt war unakzeptabel .,0
Der Service war unerträglich .,0
Die Webseite war mangelhaft ohne Vorankündigung.,0
Die Webseite ist okay ohne Vorankündigung.,1
Das Produkt ist befriedigend ohne Vorankündigung.,1
Die Webseite ist solide nach dem neuesten Update.,1
Die Lieferung ist durchschnittlich nach dem neuesten Update.,1
Der Service ist akzeptabel zum zweiten Mal in Folge.,1
Der Service ist akzeptabel zum zweiten Mal in Folge.,1
Die Lieferung ist okay .,1
Die App ist solide ohne Vorankündigung.,1
Das Produkt ist okay ohne Vorankündigung.,1
Der Service ist solide nach dem neuesten Update.,1
Der Service ist akzeptabel .,1
Der Service ist akzeptabel nach dem neuesten Update.,1
Der Service ist befriedigend ohne Vorankündigung.,1
Die Lieferung ist solide ohne Vorankündigung.,1
Das Produkt ist solide nach dem neuesten Update.,1
Das Produkt ist durchschnittlich nach dem neuesten Update.,1
Das Produkt ist okay ohne Vorankündigung.,1
Der Service ist akzeptabel nach dem neuesten Update.,1
Die Webseite ist durchschnittlich nach dem neuesten Update.,1
Der Service ist akzeptabel ohne Vorankündigung.,1
Die App ist akzeptabel .,1
Das Produkt ist befriedigend nach dem neuesten Update.,1
Das Produkt ist okay nach dem neuesten Update.,1
Der Service ist akzeptabel im Vergleich zu meinen Erwartungen.,1
Die App ist solide zum zweiten Mal in Folge.,1
Die Webseite ist okay .,1
Das Produkt ist durchschnittlich ohne Vorankündigung.,1
Das Produkt ist akzeptabel ohne Vorankündigung.,1
Die Webseite ist durchschnittlich zum zweiten Mal in Folge.,1
Der Service ist okay nach dem neuesten Update.,1
Die Lieferung ist okay nach dem neuesten Update.,1
Der Service ist durchschnittlich .,1
Die Lieferung ist solide zum zweiten Mal in Folge.,1
Die Webseite ist durchschnittlich im Vergleich zu meinen Erwartungen.,1
Der Service ist durchschnittlich zum zweiten Mal in Folge.,1
Das Produkt ist durchschnittlich nach dem neuesten Update.,1
Die App ist durchschnittlich nach dem neuesten Update.,1
Der Service ist okay zum zweiten Mal in Folge.,1
Das Produkt ist befriedigend im Vergleich zu meinen Erwartungen.,1
Der Service ist befriedigend nach dem neuesten Update.,1
Die Lieferung ist durchschnittlich im Vergleich zu meinen Erwartungen.,1
Das Produkt ist durchschnittlich zum zweiten Mal in Folge.,1
Die Lieferung ist akzeptabel .,1
Die Lieferung ist akzeptabel ohne Vorankündigung.,1
Die App ist solide nach dem neuesten Update.,1
Das Produkt ist okay nach dem neuesten Update.,1
Der Service ist solide nach dem neuesten Update.,1
Das Produkt ist okay ohne Vorankündigung.,1
Die App ist akzeptabel nach dem neuesten Update.,1
Die App ist solide ohne Vorankündigung.,1
Das Produkt ist befriedigend ohne Vorankündigung.,1
Der Service ist akzeptabel .,1
Die App ist okay ohne Vorankündigung.,1
Die Webseite ist durchschnittlich nach dem neuesten Update.,1
Die App ist okay nach dem neuesten Update.,1
Die Webseite ist akzeptabel .,1
Die Lieferung ist solide nach dem neuesten Update.,1
Die App ist akzeptabel zum zweiten Mal in Folge.,1
Die Lieferung ist solide im Vergleich zu meinen Erwartungen.,1
Der Service ist befriedigend zum zweiten Mal in Folge.,1
Der Service ist solide ohne Vorankündigung.,1
Die Lieferung ist befriedigend ohne Vorankündigung.,1
Das Produkt ist akzeptabel nach dem neuesten Update.,1
Der Service ist befriedigend ohne Vorankündigung.,1
Die Webseite ist akzeptabel zum zweiten Mal in Folge.,1
Die App ist befriedigend im Vergleich zu meinen Erwartungen.,1
Die Webseite ist befriedigend im Vergleich zu meinen Erwartungen.,1
Das Produkt ist akzeptabel ohne Vorankündigung.,1
Die Webseite ist akzeptabel .,1
Der Service ist akzeptabel im Vergleich zu meinen Erwartungen.,1
Der Service ist durchschnittlich .,1
Das Produkt ist durchschnittlich zum zweiten Mal in Folge.,1
Die Webseite ist okay zum zweiten Mal in Folge.,1
Die App ist solide im Vergleich zu meinen Erwartungen.,1
Die App ist befriedigend zum zweiten Mal in Folge.,1
Der Service ist durchschnittlich .,1
Das Produkt ist befriedigend im Vergleich zu meinen Erwartungen.,1
Der Service ist solide zum zweiten Mal in Folge.,1
Das Produkt ist solide im Vergleich zu meinen Erwartungen.,1
Das Produkt ist befriedigend im Vergleich zu meinen Erwartungen.,1
Die App ist solide ohne Vorankündigung.,1
Die Webseite ist akzeptabel zum zweiten Mal in Folge.,1
Die Webseite ist solide zum zweiten Mal in Folge.,1
Die Webseite ist befriedigend im Vergleich zu meinen Erwartungen.,1
Die App ist befriedigend nach dem neuesten Update.,1
Der Service ist akzeptabel ohne Vorankündigung.,1
Die App ist durchschnittlich nach dem neuesten Update.,1
Die App ist okay nach dem neuesten Update.,1
Der Service ist akzeptabel nach dem neuesten Update.,1
Die Lieferung ist solide .,1
Der Service ist durchschnittlich im Vergleich zu meinen Erwartungen.,1
Die App ist durchschnittlich im Vergleich zu meinen Erwartungen.,1
Das Produkt ist befriedigend zum zweiten Mal in Folge.,1
Die Lieferung ist solide zum zweiten Mal in Folge.,1
Die App ist okay im Vergleich zu meinen Erwartungen.,1
Die App ist befriedigend ohne Vorankündigung.,1
Das Produkt ist solide zum zweiten Mal in Folge.,1
Die App ist okay nach dem neuesten Update.,1
Die Lieferung ist befriedigend zum zweiten Mal in Folge.,1
Die Webseite ist solide ohne Vorankündigung.,1
Der Service ist überzeugend im Vergleich zu meinen Erwartungen!,2
Die Lieferung ist überzeugend zum zweiten Mal in Folge!,2
Das Produkt ist überzeugend nach dem neuesten Update!,2
Die App ist hervorragend zum zweiten Mal in Folge!,2
Der Service ist genial ohne Vorankündigung!,2
Das Produkt ist überzeugend ohne Vorankündigung!,2
Die Webseite ist ausgezeichnet !,2
Die App ist hervorragend zum zweiten Mal in Folge!,2
Der Service ist ausgezeichnet nach dem neuesten Update!,2
Die App ist fantastisch im Vergleich zu meinen Erwartungen!,2
Die App ist fantastisch nach dem neuesten Update!,2
Die App ist fantastisch zum zweiten Mal in Folge!,2
Die Lieferung ist ausgezeichnet zum zweiten Mal in Folge!,2
Das Produkt ist genial !,2
Die Lieferung ist hervorragend !,2
Das Produkt ist ausgezeichnet im Vergleich zu meinen Erwartungen!,2
Der Service ist ausgezeichnet ohne Vorankündigung!,2
Der Service ist hervorragend im Vergleich zu meinen Erwartungen!,2
Die App ist ausgezeichnet ohne Vorankündigung!,2
Der Service ist überzeugend nach dem neuesten Update!,2
Die Lieferung ist hervorragend ohne Vorankündigung!,2
Die Webseite ist ausgezeichnet im Vergleich zu meinen Erwartungen!,2
Die Lieferung ist ausgezeichnet ohne Vorankündigung!,2
Das Produkt ist fantastisch ohne Vorankündigung!,2
Die App ist überzeugend im Vergleich zu meinen Erwartungen!,2
Das Produkt ist genial im Vergleich zu meinen Erwartungen!,2
Das Produkt ist fantastisch ohne Vorankündigung!,2
Das Produkt ist genial !,2
Die Lieferung ist genial zum zweiten Mal in Folge!,2
Die Lieferung ist ausgezeichnet ohne Vorankündigung!,2
Die Lieferung ist ausgezeichnet zum zweiten Mal in Folge!,2
Die App ist ausgezeichnet zum zweiten Mal in Folge!,2
Die Lieferung ist überzeugend im Vergleich zu meinen Erwartungen!,2
Die App ist hervorragend ohne Vorankündigung!,2
Die Lieferung ist genial ohne Vorankündigung!,2
Die App ist überzeugend zum zweiten Mal in Folge!,2
Die Webseite ist fantastisch nach dem neuesten Update!,2
Der Service ist ausgezeichnet nach dem neuesten Update!,2
Die App ist hervorragend zum zweiten Mal in Folge!,2
Die Webseite ist genial zum zweiten Mal in Folge!,2
Die Lieferung ist ausgezeichnet zum zweiten Mal in Folge!,2
Die Lieferung ist hervorragend zum zweiten Mal in Folge!,2
Der Service ist fantastisch nach dem neuesten Update!,2
Die Lieferung ist fantastisch ohne Vorankündigung!,2
Die Lieferung ist genial !,2
Die Webseite ist hervorragend !,2
Der Service ist überzeugend zum zweiten Mal in Folge!,2
Die Webseite ist hervorragend zum zweiten Mal in Folge!,2
Die App ist überzeugend !,2
Das Produkt ist fantastisch im Vergleich zu meinen Erwartungen!,2
Die App ist hervorragend nach dem neuesten Update!,2
Die Webseite ist fantastisch zum zweiten Mal in Folge!,2
Die Webseite ist genial nach dem neuesten Update!,2
Die App ist genial nach dem neuesten Update!,2
Die Lieferung ist überzeugend nach dem neuesten Update!,2
Die Lieferung ist fantastisch im Vergleich zu meinen Erwartungen!,2
Das Produkt ist hervorragend nach dem neuesten Update!,2
Das Produkt ist genial im Vergleich zu meinen Erwartungen!,2
Der Service ist hervorragend zum zweiten Mal in Folge!,2
Die Lieferung ist genial ohne Vorankündigung!,2
Die Webseite ist fantastisch !,2
Der Service ist fantastisch im Vergleich zu meinen Erwartungen!,2
Die Lieferung ist hervorragend nach dem neuesten Update!,2
Das Produkt ist genial im Vergleich zu meinen Erwartungen!,2
Die Lieferung ist ausgezeichnet !,2
Die Webseite ist fantastisch im Vergleich zu meinen Erwartungen!,2
Die App ist ausgezeichnet !,2
Die Webseite ist fantastisch zum zweiten Mal in Folge!,2
Die App ist überzeugend nach dem neuesten Update!,2
Der Service ist ausgezeichnet nach dem neuesten Update!,2
Die App ist ausgezeichnet !,2
Die App ist überzeugend !,2
Die Webseite ist ausgezeichnet im Vergleich zu meinen Erwartungen!,2
Der Service ist genial nach dem neuesten Update!,2
Das Produkt ist hervorragend !,2
Die Webseite ist überzeugend ohne Vorankündigung!,2
Die Webseite ist genial im Vergleich zu meinen Erwartungen!,2
Die Webseite ist überzeugend zum zweiten Mal in Folge!,2
Die App ist fantastisch ohne Vorankündigung!,2
Die App ist fantastisch ohne Vorankündigung!,2
Die Webseite ist ausgezeichnet ohne Vorankündigung!,2
Das Produkt ist hervorragend im Vergleich zu meinen Erwartungen!,2
Die Lieferung ist ausgezeichnet im Vergleich zu meinen Erwartungen!,2
Der Service ist hervorragend ohne Vorankündigung!,2
Das Produkt ist hervorragend !,2
Die App ist überzeugend ohne Vorankündigung!,2
Die App ist fantastisch !,2
Der Service ist fantastisch nach dem neuesten Update!,2
Die App ist ausgezeichnet im Vergleich zu meinen Erwartungen!,2
Die Lieferung ist genial im Vergleich zu meinen Erwartungen!,2
Die App ist ausgezeichnet ohne Vorankündigung!,2
Der Service ist hervorragend nach dem neuesten Update!,2
Der Service ist ausgezeichnet !,2
Der Service ist fantastisch ohne Vorankündigung!,2
Die Webseite ist fantastisch zum zweiten Mal in Folge!,2
Das Produkt ist überzeugend nach dem neuesten Update!,2
Die App ist fantastisch ohne Vorankündigung!,2
Die Webseite ist überzeugend zum zweiten Mal in Folge!,2
Das Produkt ist genial !,2
Die App ist fantastisch ohne Vorankündigung!,2
